Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),,,,,
443,0.04,0.02,0.02,0.0389,-0.0162,-1.0067,0,0,0,,,,,
445,0.04,0.02,0.02,0.0389,-0.0162,-1.007,0,0,0,,,,,
447,0.03,0.02,0.02,0.0389,-0.0161,-1.007,0,0,0,,,,,
449,0.03,0.02,0.02,0.0388,-0.016,-1.0068,0,0,0,,,,,
452,0.03,0.02,0.01,0.0388,-0.016,-1.0067,0,0,0,,,,,
454,0.03,0.02,0.01,0.0388,-0.0158,-1.0067,0,0,0,,,,,
456,0.03,0.02,0.01,0.0388,-0.0158,-1.0069,0,0,0,,,,,
458,0.04,0.02,0,0.0386,-0.0157,-1.007,0,0,0,,,,,
460,0.04,0.01,0.01,0.0387,-0.0158,-1.0074,0,0,0,,,,,
462,0.04,0.02,0.01,0.0385,-0.0159,-1.0072,0,0,0,,,,,
464,0.04,0.02,0.01,0.0386,-0.0159,-1.0073,0,0,0,,,,,
466,0.04,0.01,0.01,0.0387,-0.0159,-1.0069,0,0,0,,,,,
468,0.04,0.01,0.01,0.0387,-0.0159,-1.0068,0,0,0,,,,,
470,0.04,0.01,0,0.0386,-0.0159,-1.0072,0,0,0,,,,,
472,0.04,0.01,0,0.0386,-0.0159,-1.0071,0,0,0,,,,,
474,0.04,0.01,0,0.0385,-0.0159,-1.0069,0,0,0,,,,,
476,0.04,0.01,0,0.0384,-0.0157,-1.0069,0,0,0,,,,,
478,0.04,0.01,0,0.0384,-0.0157,-1.0068,0,0,0,,,,,
480,0.05,0.01,0,0.0385,-0.0158,-1.0069,0,0,0,,,,,
482,0.04,0.01,0,0.0385,-0.0159,-1.007,0,0,0,,,,,
485,0.05,0.01,0,0.0385,-0.0162,-1.007,0,0,0,,,,,
487,0.05,0.01,0,0.0385,-0.0163,-1.0067,0,0,0,,,,,
489,0.05,0.01,0,0.0386,-0.0162,-1.0066,0,0,0,,,,,
491,0.05,0.01,0.01,0.0386,-0.0161,-1.0063,0,0,0,,,,,
493,0.05,0.01,0.01,0.0386,-0.016,-1.0064,0,0,0,,,,,
495,0.05,0.01,0.01,0.0386,-0.0161,-1.0063,0,0,0,,,,,
497,0.05,0.02,0.01,0.0384,-0.0161,-1.0063,0,0,0,,,,,
499,0.05,0.01,0.01,0.0384,-0.0161,-1.0064,0,0,0,,,,,
501,0.05,0.01,0.01,0.0384,-0.016,-1.0064,0,0,0,,,,,
503,0.05,0.01,0.01,0.0384,-0.016,-1.0064,0,0,0,,,,,
505,0.04,0.02,0.01,0.0384,-0.0159,-1.0063,0,0,0,,,,,
507,0.04,0.02,0.01,0.0384,-0.0161,-1.0063,0,0,0,,,,,
509,0.04,0.02,0.01,0.0384,-0.0161,-1.0063,0,0,0,,,,,
511,0.04,0.02,0,0.0384,-0.0161,-1.0063,0,0,0,,,,,
513,0.04,0.01,0,0.0384,-0.0162,-1.006,0,0,0,,,,,
515,0.04,0.01,0.01,0.0383,-0.0162,-1.006,0,0,0,,,,,
518,0.04,0.01,0.01,0.0384,-0.0162,-1.0064,0,0,0,,,,,
520,0.04,0.01,0.01,0.0385,-0.0164,-1.0064,0,0,0,,,,,
522,0.04,0.01,0.01,0.0385,-0.0164,-1.0064,0,0,0,,,,,
524,0.03,0,0.01,0.0384,-0.0164,-1.0063,0,0,0,,,,,
526,0.03,0.01,0.01,0.0385,-0.0165,-1.0063,0,0,0,,,,,
528,0.03,0,0.02,0.0386,-0.0166,-1.0062,0,0,0,,,,,
530,0.02,0.01,0.02,0.0386,-0.0167,-1.0062,0,0,0,,,,,
532,0.03,0.01,0.02,0.0387,-0.0169,-1.0065,0,0,0,,,,,
534,0.03,0.02,0.02,0.0386,-0.0171,-1.0064,0,0,0,,,,,
536,0.04,0.02,0.02,0.0387,-0.0173,-1.0064,0,0,0,,,,,
538,0.04,0.01,0.02,0.0387,-0.0175,-1.0063,0,0,0,,,,,
540,0.04,0,0.02,0.0388,-0.0175,-1.0064,0,0,0,,,,,
542,0.04,0,0.02,0.0387,-0.0175,-1.0064,0,0,0,,,,,
544,0.04,0,0.03,0.0387,-0.0175,-1.0066,0,0,0,,,,,
546,0.04,0,0.02,0.0387,-0.0175,-1.0065,0,0,0,,,,,
549,0.04,0,0.02,0.0387,-0.0175,-1.0064,0,0,0,,,,,
552,0.04,0.01,0.01,0.0387,-0.0174,-1.0063,0,0,0,,,,,
554,0.04,0.01,0.01,0.0388,-0.0176,-1.0065,0,0,0,,,,,
556,0.04,0.02,0.01,0.0389,-0.0177,-1.0062,0,0,0,,,,,
558,0.04,0.02,0.01,0.0388,-0.0177,-1.0064,0,0,0,,,,,
560,0.04,0.02,0,0.0388,-0.0176,-1.0064,0,0,0,,,,,
562,0.04,0.01,0.01,0.0388,-0.0176,-1.0064,0,0,0,,,,,
564,0.04,0.01,0,0.0386,-0.0175,-1.006,0,0,0,,,,,
566,0.04,0,0.01,0.0386,-0.0172,-1.0062,0,0,0,,,,,
568,0.04,0,0.01,0.0385,-0.0171,-1.0064,0,0,0,,,,,
570,0.03,0.01,0.01,0.0384,-0.0169,-1.0066,0,0,0,,,,,
572,0.03,0.01,0.02,0.0385,-0.017,-1.0063,0,0,0,,,,,
574,0.02,0.02,0.02,0.0385,-0.017,-1.0064,0,0,0,,,,,
576,0.02,0.02,0.02,0.0384,-0.017,-1.0063,0,0,0,,,,,
578,0.01,0.02,0.02,0.0383,-0.0169,-1.0064,0,0,0,,,,,
580,0.02,0.02,0.02,0.0383,-0.0168,-1.0063,0,0,0,,,,,
582,0.02,0.02,0.02,0.0383,-0.0168,-1.0064,0,0,0,,,,,
585,0.02,0.02,0.02,0.0382,-0.0167,-1.0063,0,0,0,,,,,
587,0.02,0.02,0.02,0.0379,-0.0165,-1.0066,0,0,0,,,,,
589,0.03,0.02,0.02,0.0379,-0.0165,-1.0063,0,0,0,,,,,
591,0.03,0.02,0.02,0.0378,-0.0164,-1.0063,0,0,0,,,,,
593,0.03,0.02,0.01,0.0379,-0.0163,-1.0061,0,0,0,,,,,
595,0.04,0.02,0.01,0.0379,-0.0163,-1.0062,0,0,0,,,,,
597,0.04,0.02,0,0.0379,-0.0164,-1.006,0,0,0,,,,,
599,0.04,0.01,0,0.0379,-0.0163,-1.0059,0,0,0,,,,,
601,0.05,0.02,0,0.038,-0.0163,-1.0057,0,0,0,,,,,
603,0.05,0.02,0,0.038,-0.0162,-1.0056,0,0,0,,,,,
605,0.05,0.02,0,0.038,-0.0162,-1.0056,0,0,0,,,,,
607,0.06,0.03,0,0.0382,-0.0163,-1.0055,0,0,0,,,,,
609,0.07,0.03,-0.01,0.0384,-0.0162,-1.0053,0,0,0,,,,,
611,0.07,0.02,-0.01,0.0384,-0.0162,-1.005,0,0,0,,,,,
613,0.07,0.02,-0.01,0.0385,-0.0162,-1.0049,0,0,0,,,,,
615,0.07,0.02,0,0.0384,-0.0161,-1.005,0,0,0,,,,,
618,0.07,0.02,0,0.0384,-0.0159,-1.0049,0,0,0,,,,,
620,0.06,0.03,0,0.0384,-0.0159,-1.0049,0,0,0,,,,,
622,0.06,0.03,0,0.0384,-0.016,-1.0048,0,0,0,,,,,
624,0.06,0.03,0,0.0385,-0.0161,-1.005,0,0,0,,,,,
626,0.06,0.03,0,0.0386,-0.0162,-1.005,0,0,0,,,,,
628,0.05,0.03,0,0.0385,-0.0163,-1.0051,0,0,0,,,,,
630,0.06,0.03,0,0.0386,-0.0164,-1.0051,0,0,0,,,,,
632,0.05,0.03,0,0.0385,-0.0162,-1.0052,0,0,0,,,,,
634,0.05,0.03,0,0.0386,-0.0161,-1.0053,0,0,0,,,,,
636,0.05,0.02,0,0.0387,-0.016,-1.0054,0,0,0,,,,,
638,0.05,0.02,0,0.0385,-0.0159,-1.0054,0,0,0,,,,,
640,0.04,0.01,0,0.0384,-0.016,-1.0056,0,0,0,,,,,
642,0.04,0.01,0,0.0384,-0.0159,-1.0058,0,0,0,,,,,
644,0.04,0.01,0,0.0383,-0.016,-1.0058,0,0,0,,,,,
646,0.04,0.02,0,0.0386,-0.0161,-1.0058,0,0,0,,,,,
648,0.04,0.02,0,0.0388,-0.0163,-1.0058,0,0,0,,,,,
651,0.04,0.02,0.01,0.0389,-0.0162,-1.006,0,0,0,,,,,
653,0.04,0.02,0.01,0.0389,-0.0161,-1.006,0,0,0,,,,,
655,0.04,0.02,0.02,0.0388,-0.0162,-1.0059,0,0,0,,,,,
657,0.04,0.02,0.02,0.0387,-0.016,-1.0058,0,0,0,,,,,
659,0.04,0.02,0.02,0.0387,-0.0157,-1.0057,0,0,0,,,,,
661,0.04,0.03,0.03,0.0387,-0.0157,-1.0058,0,0,0,,,,,
663,0.04,0.02,0.03,0.0388,-0.0159,-1.0061,0,0,0,,,,,
665,0.05,0.02,0.03,0.0387,-0.016,-1.0061,0,0,0,,,,,
667,0.05,0.02,0.03,0.0385,-0.0159,-1.006,0,0,0,,,,,
669,0.05,0.02,0.03,0.0386,-0.0158,-1.0061,0,0,0,,,,,
671,0.05,0.02,0.03,0.0386,-0.0157,-1.006,0,0,0,,,,,
673,0.05,0.02,0.04,0.0386,-0.0158,-1.0061,0,0,0,,,,,
675,0.05,0.02,0.03,0.0386,-0.0158,-1.006,0,0,0,,,,,
677,0.04,0.02,0.03,0.0385,-0.0157,-1.006,0,0,0,,,,,
679,0.04,0.01,0.02,0.0385,-0.0157,-1.0058,0,0,0,,,,,
683,0.04,0.01,0.02,0.0385,-0.0158,-1.006,0,0,0,,,,,
686,0.03,0,0.01,0.0385,-0.016,-1.006,0,0,0,,,,,
688,0.03,0,0.01,0.0386,-0.016,-1.0061,0,0,0,,,,,
